time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,city,split
2012-11-26,23.7,0.0,61,Nagpur,train
2004-05-28,23.4,9.8,81,Bengaluru,train
2021-04-17,30.9,0.0,23,Bhopal,train
2012-01-30,19.7,4.4,80,Nagpur,train
2019-01-31,17.0,0.0,55,Nagpur,train
2020-02-01,19.3,0.0,34,Ahmedabad,train
2019-11-06,22.8,2.0,77,Bengaluru,train
2008-08-22,22.0,0.3,79,Bengaluru,train
2007-07-20,28.5,28.1,85,Patna,train
2020-10-13,29.0,0.5,82,Patna,train
2018-06-23,26.7,41.0,90,Mumbai,train
2012-02-29,22.0,0.0,33,Bhopal,train
2024-02-11,23.2,0.0,61,Bengaluru,train
2015-03-21,24.9,0.0,44,Patna,train
2016-03-15,24.0,0.0,65,Patna,train
2013-11-09,17.2,0.3,69,Ludhiana,train
2021-03-16,29.1,0.0,35,Nagpur,train
2024-07-06,28.6,1.0,80,Delhi,train
2005-05-25,34.6,0.0,35,Ahmedabad,train
2009-10-06,26.0,0.0,73,Ludhiana,train
2024-09-22,29.1,0.1,77,Ahmedabad,train
2021-09-16,27.9,4.1,77,Delhi,train
2019-05-31,33.5,0.0,45,Hyderabad,train
2005-03-09,17.8,11.7,86,Ludhiana,train
2024-08-05,26.5,5.8,84,Nagpur,train
2006-11-10,23.0,6.8,86,Patna,train
2006-03-10,21.9,14.5,80,Bengaluru,train
2009-08-29,25.8,0.1,74,Hyderabad,train
2005-11-09,19.5,0.0,61,Ludhiana,train
